START: 0xb7fdf1d0
mov eax, esp	0xb7fdf1d0
mov eax, dword ptr [ebx-0x164]	0xb63bd3a6
mov eax, dword ptr [eax]	0xb63bd3ac
test eax, eax	0xb63bd3ae
jz 0xb63bd3b4	0xb63bd3b0
call eax	0xb63bd3b2
START: 0xb63bd3b4
mov dword ptr [ebx+0x10c], 0x1	0xb63bd3b4
add esp, 0x4c	0xb63bd3be
pop ebx	0xb63bd3c1
pop esi	0xb63bd3c2
pop edi	0xb63bd3c3
pop ebp	0xb63bd3c4
ret 	0xb63bd3c5
START: 0xb63be08b
mov ebx, dword ptr [esp+0x4]	0xb63be08b
mov dword ptr [esp+0x10], esi	0xb63be08f
mov esi, dword ptr [esp+0x8]	0xb63be093
add esp, 0xc	0xb63be097
jmp 0xb63bdd80	0xb63be09a
START: 0xb63bdd80
sub esp, 0x3c	0xb63bdd80
mov dword ptr [esp+0x2c], ebx	0xb63bdd83
call 0xb646ef83	0xb63bdd87
START: 0xb63bddda
cmpxchg dword ptr [edi], ecx	0xb63bddda
jnz 0xb63bfa57	0xb63bdddd
mov edx, ebp	0xb63bdde3
mov eax, edi	0xb63bdde5
call 0xb63bb0a0	0xb63bdde7
START: 0xb63bb0a0
push ebp	0xb63bb0a0
push edi	0xb63bb0a1
mov edi, eax	0xb63bb0a2
push esi	0xb63bb0a4
push ebx	0xb63bb0a5
sub esp, 0x8c	0xb63bb0a6
call 0xb646ef83	0xb63bb0ac
START: 0xb646ef83
mov ebx, dword ptr [esp]	0xb646ef83
ret 	0xb646ef86
START: 0xb63bb0b1
add ebx, 0x12df43	0xb63bb0b1
cmp edx, 0xffffffdf	0xb63bb0b7
mov dword ptr [esp+0x48], edx	0xb63bb0ba
jnbe 0xb63bb7c4	0xb63bb0be
mov eax, dword ptr [esp+0x48]	0xb63bb0c4
mov dword ptr [esp+0x38], 0x10	0xb63bb0c8
add eax, 0xb	0xb63bb0d0
mov edx, eax	0xb63bb0d3
and edx, 0xfffffff8	0xb63bb0d5
cmp eax, 0x10	0xb63bb0d8
cmovb edx, dword ptr [esp+0x38]	0xb63bb0db
cmp edx, dword ptr [ebx+0x1914]	0xb63bb0e0
mov dword ptr [esp+0x38], edx	0xb63bb0e6
jnbe 0xb63bb190	0xb63bb0ea
mov eax, edx	0xb63bb0f0
shr eax, 0x3	0xb63bb0f2
sub eax, 0x2	0xb63bb0f5
mov edx, dword ptr [edi+eax*4+0x8]	0xb63bb0f8
mov dword ptr [esp+0x34], eax	0xb63bb0fc
test edx, edx	0xb63bb100
mov dword ptr [esp+0x30], edx	0xb63bb102
jz 0xb63bb190	0xb63bb106
START: 0xb63bb190
cmp dword ptr [esp+0x38], 0x1ff	0xb63bb190
jnbe 0xb63bb1fb	0xb63bb198
mov esi, dword ptr [esp+0x38]	0xb63bb19a
shr esi, 0x3	0xb63bb19e
lea eax, ptr [edi+esi*8+0x28]	0xb63bb1a1
mov ecx, dword ptr [eax+0xc]	0xb63bb1a5
mov dword ptr [esp+0x4c], esi	0xb63bb1a8
cmp ecx, eax	0xb63bb1ac
jz 0xb63bb22f	0xb63bb1ae
test ecx, ecx	0xb63bb1b0
jz 0xb63bb228	0xb63bb1b2
START: 0xb63bb1fb
mov eax, dword ptr [esp+0x38]	0xb63bb1fb
shr eax, 0x6	0xb63bb1ff
cmp eax, 0x26	0xb63bb202
jbe 0xb63bb7b8	0xb63bb205
mov eax, dword ptr [esp+0x38]	0xb63bb20b
shr eax, 0x9	0xb63bb20f
cmp eax, 0x14	0xb63bb212
jnbe 0xb63bb7e7	0xb63bb215
add eax, 0x5b	0xb63bb21b
mov dword ptr [esp+0x4c], eax	0xb63bb21e
test byte ptr [edi+0x4], 0x1	0xb63bb222
jnz 0xb63bb22f	0xb63bb226
START: 0xb63bb7b8
add eax, 0x38	0xb63bb7b8
mov dword ptr [esp+0x4c], eax	0xb63bb7bb
jmp 0xb63bb222	0xb63bb7bf
START: 0xb63bb222
test byte ptr [edi+0x4], 0x1	0xb63bb222
jnz 0xb63bb22f	0xb63bb226
mov eax, edi	0xb63bb228
call 0xb63ba060	0xb63bb22a
START: 0xb63ba060
push ebp	0xb63ba060
mov ecx, eax	0xb63ba061
push edi	0xb63ba063
mov edx, 0xfffffff8	0xb63ba064
push esi	0xb63ba069
push ebx	0xb63ba06a
call 0xb646ef83	0xb63ba06b
START: 0xb646ef83
mov ebx, dword ptr [esp]	0xb646ef83
ret 	0xb646ef86
START: 0xb63ba070
add ebx, 0x12ef84	0xb63ba070
sub esp, 0x4c	0xb63ba076
lea esi, ptr [eax+0x38]	0xb63ba079
mov edi, dword ptr [ebx+0x1914]	0xb63ba07c
test edi, edi	0xb63ba082
jz 0xb63ba1c8	0xb63ba084
cmp dword ptr gs:[0xc], 0x0	0xb63ba08a
jz 0xb63ba095	0xb63ba092
lock or dword ptr [eax+0x4], 0x1	0xb63ba094
lea eax, ptr [eax+0x30]	0xb63ba099
lea edx, ptr [ecx+0x2c]	0xb63ba09c
mov dword ptr [esp+0x30], eax	0xb63ba09f
lea eax, ptr [ecx+0x8]	0xb63ba0a3
mov dword ptr [esp+0x38], edx	0xb63ba0a6
lea edx, ptr [ebx-0x4308c]	0xb63ba0aa
mov dword ptr [esp+0x2c], eax	0xb63ba0b0
mov dword ptr [esp+0x3c], edx	0xb63ba0b4
xor esi, esi	0xb63ba0b8
mov eax, dword ptr [esp+0x2c]	0xb63ba0ba
xchg dword ptr [eax], esi	0xb63ba0be
test esi, esi	0xb63ba0c0
jnz 0xb63ba14c	0xb63ba0c2
START: 0xb63ba1c8
lea eax, ptr [esi+edx*1]	0xb63ba1c8
add edx, 0x8	0xb63ba1cb
cmp edx, 0x3f0	0xb63ba1ce
mov dword ptr [eax+0xc], eax	0xb63ba1d4
mov dword ptr [eax+0x8], eax	0xb63ba1d7
jnz 0xb63ba1c8	0xb63ba1da
lea eax, ptr [ebx+0x44c]	0xb63ba1dc
cmp ecx, eax	0xb63ba1e2
jz 0xb63ba230	0xb63ba1e4
mov eax, dword ptr [ecx+0x4]	0xb63ba1e6
or eax, 0x2	0xb63ba1e9
or eax, 0x1	0xb63ba1ec
mov dword ptr [ecx+0x4], eax	0xb63ba1ef
lea eax, ptr [ecx+0x30]	0xb63ba1f2
mov dword ptr [ecx+0x30], eax	0xb63ba1f5
add esp, 0x4c	0xb63ba1f8
pop ebx	0xb63ba1fb
pop esi	0xb63ba1fc
pop edi	0xb63ba1fd
pop ebp	0xb63ba1fe
ret 	0xb63ba1ff
START: 0xb63ba230
mov dword ptr [ebx+0x1914], 0x40	0xb63ba230
mov eax, dword ptr [ebx+0x450]	0xb63ba23a
jmp 0xb63ba1ec	0xb63ba240
START: 0xb63ba1ec
or eax, 0x1	0xb63ba1ec
mov dword ptr [ecx+0x4], eax	0xb63ba1ef
lea eax, ptr [ecx+0x30]	0xb63ba1f2
mov dword ptr [ecx+0x30], eax	0xb63ba1f5
add esp, 0x4c	0xb63ba1f8
pop ebx	0xb63ba1fb
pop esi	0xb63ba1fc
pop edi	0xb63ba1fd
pop ebp	0xb63ba1fe
ret 	0xb63ba1ff
START: 0xb63bb22f
mov ebp, dword ptr [esp+0x38]	0xb63bb22f
mov esi, dword ptr [esp+0x38]	0xb63bb233
shr ebp, 0x6	0xb63bb237
mov dword ptr [esp+0x50], ebp	0xb63bb23a
add ebp, 0x38	0xb63bb23e
mov dword ptr [esp+0x6c], ebp	0xb63bb241
mov ebp, dword ptr [esp+0x38]	0xb63bb245
shr esi, 0x3	0xb63bb249
mov dword ptr [esp+0x68], esi	0xb63bb24c
mov esi, dword ptr [esp+0x38]	0xb63bb250
shr ebp, 0xc	0xb63bb254
mov dword ptr [esp+0x5c], ebp	0xb63bb257
add ebp, 0x6e	0xb63bb25b
mov dword ptr [esp+0x74], ebp	0xb63bb25e
mov ebp, dword ptr [esp+0x38]	0xb63bb262
shr esi, 0x9	0xb63bb266
mov dword ptr [esp+0x58], esi	0xb63bb269
add esi, 0x5b	0xb63bb26d
mov dword ptr [esp+0x70], esi	0xb63bb270
mov esi, dword ptr [esp+0x38]	0xb63bb274
shr ebp, 0x12	0xb63bb278
mov dword ptr [esp+0x64], ebp	0xb63bb27b
add ebp, 0x7c	0xb63bb27f
mov dword ptr [esp+0x7c], ebp	0xb63bb282
mov ebp, dword ptr [esp+0x38]	0xb63bb286
shr esi, 0xf	0xb63bb28a
mov dword ptr [esp+0x60], esi	0xb63bb28d
add esi, 0x77	0xb63bb291
mov dword ptr [esp+0x78], esi	0xb63bb294
lea esi, ptr [edi+0x30]	0xb63bb298
mov dword ptr [esp+0x3c], esi	0xb63bb29b
add ebp, 0x10	0xb63bb29f
mov dword ptr [esp+0x54], ebp	0xb63bb2a2
mov dword ptr [esp+0x34], 0x2710	0xb63bb2a6
jmp 0xb63bb2ff	0xb63bb2ae
START: 0xb63bb2ff
mov esi, dword ptr [edi+0x3c]	0xb63bb2ff
cmp esi, dword ptr [esp+0x3c]	0xb63bb302
jz 0xb63bb576	0xb63bb306
mov edx, dword ptr [esi+0x4]	0xb63bb30c
mov ebp, dword ptr [esi+0xc]	0xb63bb30f
cmp edx, 0x8	0xb63bb312
jbe 0xb63bb98e	0xb63bb315
cmp edx, dword ptr [edi+0x448]	0xb63bb31b
jnbe 0xb63bb98e	0xb63bb321
START: 0xb63bb576
lea esi, ptr [edi+0x38]	0xb63bb576
mov dword ptr [esp+0x40], esi	0xb63bb579
cmp dword ptr [esp+0x38], 0x1ff	0xb63bb57d
jnbe 0xb63bb6f5	0xb63bb585
mov ecx, dword ptr [esp+0x4c]	0xb63bb58b
mov eax, 0x1	0xb63bb58f
mov esi, dword ptr [esp+0x4c]	0xb63bb594
mov ebp, dword ptr [esp+0x40]	0xb63bb598
add ecx, 0x1	0xb63bb59c
shl eax, cl	0xb63bb59f
lea edx, ptr [ebp+esi*8-0x8]	0xb63bb5a1
mov ebp, ecx	0xb63bb5a5
shr ebp, 0x5	0xb63bb5a7
mov esi, dword ptr [edi+ebp*4+0x430]	0xb63bb5aa
lea esi, ptr [esi]	0xb63bb5b1
test eax, eax	0xb63bb5b8
jz 0xb63bb5c0	0xb63bb5ba
cmp eax, esi	0xb63bb5bc
jbe 0xb63bb5fb	0xb63bb5be
START: 0xb63bb6f5
mov eax, dword ptr [esp+0x40]	0xb63bb6f5
mov ebp, dword ptr [esp+0x4c]	0xb63bb6f9
lea edx, ptr [eax+ebp*8-0x10]	0xb63bb6fd
mov eax, dword ptr [edx+0x8]	0xb63bb701
cmp eax, edx	0xb63bb704
jz 0xb63bb58b	0xb63bb706
mov esi, dword ptr [esp+0x38]	0xb63bb70c
cmp esi, dword ptr [eax+0x4]	0xb63bb710
jnbe 0xb63bb58b	0xb63bb713
mov ecx, dword ptr [eax+0x14]	0xb63bb719
jmp 0xb63bb721	0xb63bb71c
START: 0xb63bb58b
mov ecx, dword ptr [esp+0x4c]	0xb63bb58b
mov eax, 0x1	0xb63bb58f
mov esi, dword ptr [esp+0x4c]	0xb63bb594
mov ebp, dword ptr [esp+0x40]	0xb63bb598
add ecx, 0x1	0xb63bb59c
shl eax, cl	0xb63bb59f
lea edx, ptr [ebp+esi*8-0x8]	0xb63bb5a1
mov ebp, ecx	0xb63bb5a5
shr ebp, 0x5	0xb63bb5a7
mov esi, dword ptr [edi+ebp*4+0x430]	0xb63bb5aa
lea esi, ptr [esi]	0xb63bb5b1
test eax, eax	0xb63bb5b8
jz 0xb63bb5c0	0xb63bb5ba
cmp eax, esi	0xb63bb5bc
jbe 0xb63bb5fb	0xb63bb5be
add ebp, 0x1	0xb63bb5c0
cmp ebp, 0x3	0xb63bb5c3
jnbe 0xb63bb61e	0xb63bb5c6
START: 0xb63bb5c8
mov esi, dword ptr [edi+ebp*4+0x430]	0xb63bb5c8
test esi, esi	0xb63bb5cf
jz 0xb63bb5c0	0xb63bb5d1
mov ecx, dword ptr [esp+0x40]	0xb63bb5d3
mov eax, ebp	0xb63bb5d7
shl eax, 0x8	0xb63bb5d9
lea edx, ptr [ecx+eax*1-0x10]	0xb63bb5dc
mov eax, 0x1	0xb63bb5e0
test eax, esi	0xb63bb5e5
jnz 0xb63bb5ff	0xb63bb5e7
lea esi, ptr [esi]	0xb63bb5e9
add edx, 0x8	0xb63bb5f0
add eax, eax	0xb63bb5f3
jz 0xb63bb949	0xb63bb5f5
START: 0xb63bb5c0
add ebp, 0x1	0xb63bb5c0
cmp ebp, 0x3	0xb63bb5c3
jnbe 0xb63bb61e	0xb63bb5c6
mov esi, dword ptr [edi+ebp*4+0x430]	0xb63bb5c8
test esi, esi	0xb63bb5cf
jz 0xb63bb5c0	0xb63bb5d1
mov ecx, dword ptr [esp+0x40]	0xb63bb5d3
mov eax, ebp	0xb63bb5d7
shl eax, 0x8	0xb63bb5d9
lea edx, ptr [ecx+eax*1-0x10]	0xb63bb5dc
mov eax, 0x1	0xb63bb5e0
test eax, esi	0xb63bb5e5
jnz 0xb63bb5ff	0xb63bb5e7
START: 0xb63bb61e
mov esi, dword ptr [edi+0x30]	0xb63bb61e
mov eax, dword ptr [esi+0x4]	0xb63bb621
mov ecx, eax	0xb63bb624
and ecx, 0xfffffff8	0xb63bb626
cmp ecx, dword ptr [esp+0x54]	0xb63bb629
jnb 0xb63bb9ad	0xb63bb62d
test byte ptr [edi+0x4], 0x1	0xb63bb633
jnz 0xb63bb9e6	0xb63bb637
mov eax, edi	0xb63bb63d
call 0xb63ba060	0xb63bb63f
START: 0xb63bb9e6
mov dword ptr [esp+0x60], ecx	0xb63bb9e6
mov ecx, dword ptr [ebx-0xfc]	0xb63bb9ea
mov ebp, dword ptr [esp+0x38]	0xb63bb9f0
mov ecx, dword ptr [ecx+0x10]	0xb63bb9f4
mov dword ptr [esp+0x4c], ecx	0xb63bb9f7
sub ecx, 0x1	0xb63bb9fb
mov dword ptr [esp+0x34], ecx	0xb63bb9fe
xor ecx, ecx	0xb63bba02
cmp ebp, dword ptr [ebx+0x134]	0xb63bba04
jb 0xb63bba4a	0xb63bba0a
mov edx, dword ptr [ebx+0x144]	0xb63bba0c
cmp dword ptr [ebx+0x140], edx	0xb63bba12
jnl 0xb63bba4a	0xb63bba18
mov ebp, dword ptr [esp+0x38]	0xb63bba1a
mov ecx, dword ptr [esp+0x4c]	0xb63bba1e
mov eax, dword ptr [esp+0x34]	0xb63bba22
lea esi, ptr [ebp+ecx*1+0x3]	0xb63bba26
not eax	0xb63bba2a
and esi, eax	0xb63bba2c
cmp ebp, esi	0xb63bba2e
jb 0xb63bc1b8	0xb63bba30
START: 0xb63bba4a
mov ebp, dword ptr [esp+0x60]	0xb63bba4a
mov edx, dword ptr [esp+0x60]	0xb63bba4e
add ebp, esi	0xb63bba52
test edx, edx	0xb63bba54
mov dword ptr [esp+0x40], ebp	0xb63bba56
setnz byte ptr [esp+0x50]	0xb63bba5a
jz 0xb63bbab0	0xb63bba5f
cmp dword ptr [esp+0x60], 0xf	0xb63bba61
jbe 0xb63bc271	0xb63bba66
test al, 0x1	0xb63bba6c
jz 0xb63bc271	0xb63bba6e
START: 0xb63bbab0
cmp dword ptr [esp+0x3c], esi	0xb63bbab0
jnz 0xb63bba61	0xb63bbab4
lea ebp, ptr [ebx+0x44c]	0xb63bbab6
cmp edi, ebp	0xb63bbabc
mov dword ptr [esp+0x58], ebp	0xb63bbabe
jz 0xb63bbcf5	0xb63bbac2
mov ebp, esi	0xb63bbac8
and ebp, 0xfff00000	0xb63bbaca
mov edx, dword ptr [ebp+0x8]	0xb63bbad0
mov dword ptr [esp+0x30], ebp	0xb63bbad3
mov dword ptr [esp+0x40], edx	0xb63bbad7
mov edx, dword ptr [esp+0x54]	0xb63bbadb
sub edx, dword ptr [esp+0x60]	0xb63bbadf
test edx, edx	0xb63bbae3
jle 0xb63bbbf6	0xb63bbae5
START: 0xb63bbcf5
mov eax, dword ptr [ebx+0x130]	0xb63bbcf5
mov ebp, dword ptr [esp+0x38]	0xb63bbcfb
mov ecx, dword ptr [esp+0x34]	0xb63bbcff
lea edx, ptr [ebp+eax*1+0x10]	0xb63bbd03
mov eax, dword ptr [ebx+0x450]	0xb63bbd07
mov ebp, edx	0xb63bbd0d
not ecx	0xb63bbd0f
sub ebp, dword ptr [esp+0x60]	0xb63bbd11
mov dword ptr [esp+0x3c], ecx	0xb63bbd15
and eax, 0x2	0xb63bbd19
cmovz edx, ebp	0xb63bbd1c
add edx, dword ptr [esp+0x34]	0xb63bbd1f
and edx, ecx	0xb63bbd23
test edx, edx	0xb63bbd25
mov ecx, edx	0xb63bbd27
jle 0xb63bbdba	0xb63bbd29
mov eax, dword ptr [ebx-0x15c]	0xb63bbd2f
mov dword ptr [esp], edx	0xb63bbd35
mov dword ptr [esp+0x28], edx	0xb63bbd38
mov dword ptr [esp+0x2c], edx	0xb63bbd3c
call dword ptr [eax]	0xb63bbd40
START: 0xb63bfcf0
sub esp, 0x1c	0xb63bfcf0
mov eax, dword ptr [esp+0x20]	0xb63bfcf3
mov dword ptr [esp], eax	0xb63bfcf7
call 0xb642aa80	0xb63bfcfa
START: 0xb642aa80
sub esp, 0x2c	0xb642aa80
mov dword ptr [esp+0x1c], ebx	0xb642aa83
call 0xb646ef83	0xb642aa87
START: 0xb646ef83
mov ebx, dword ptr [esp]	0xb646ef83
ret 	0xb646ef86
START: 0xb642aa8c
add ebx, 0xbe568	0xb642aa8c
mov dword ptr [esp+0x28], ebp	0xb642aa92
mov dword ptr [esp+0x20], esi	0xb642aa96
mov dword ptr [esp+0x24], edi	0xb642aa9a
mov edi, dword ptr [esp+0x30]	0xb642aa9e
mov ebp, dword ptr [ebx-0xd0]	0xb642aaa2
mov esi, dword ptr [ebp]	0xb642aaa8
test esi, esi	0xb642aaab
jz 0xb642aaf0	0xb642aaad
mov eax, dword ptr [ebx+0x4c]	0xb642aaaf
test eax, eax	0xb642aab5
jnz 0xb642aaf0	0xb642aab7
cmp edi, 0x0	0xb642aab9
jz 0xb642aad6	0xb642aabc
START: 0xb642aaf0
mov dword ptr [esp], 0x0	0xb642aaf0
mov esi, 0xffffffff	0xb642aaf7
call 0xb642aa10	0xb642aafc
START: 0xb642aa10
sub esp, 0x8	0xb642aa10
mov edx, dword ptr [esp+0xc]	0xb642aa13
mov dword ptr [esp], ebx	0xb642aa17
mov dword ptr [esp+0x4], esi	0xb642aa1a
call 0xb646ef83	0xb642aa1e
START: 0xb646ef83
mov ebx, dword ptr [esp]	0xb646ef83
ret 	0xb646ef86
START: 0xb642aa23
add ebx, 0xbe5d1	0xb642aa23
mov ecx, edx	0xb642aa29
xchg ebx, ecx	0xb642aa2b
mov eax, 0x2d	0xb642aa2d
call dword ptr gs:[0x10]	0xb642aa32
START: 0xb7fdd414
push ecx	0xb7fdd414
push edx	0xb7fdd415
push ebp	0xb7fdd416
mov ebp, esp	0xb7fdd417
sysenter 	0xb7fdd419
START: 0xb7fdd424
pop ebp	0xb7fdd424
pop edx	0xb7fdd425
pop ecx	0xb7fdd426
ret 	0xb7fdd427
START: 0xb642aa39
xchg ebx, ecx	0xb642aa39
mov esi, eax	0xb642aa3b
mov eax, dword ptr [ebx-0xd0]	0xb642aa3d
mov dword ptr [eax], esi	0xb642aa43
xor eax, eax	0xb642aa45
cmp edx, esi	0xb642aa47
jnbe 0xb642aa58	0xb642aa49
mov ebx, dword ptr [esp]	0xb642aa4b
mov esi, dword ptr [esp+0x4]	0xb642aa4e
add esp, 0x8	0xb642aa52
ret 	0xb642aa55
START: 0xb642ab01
test eax, eax	0xb642ab01
js 0xb642aad6	0xb642ab03
mov esi, dword ptr [ebp]	0xb642ab05
jmp 0xb642aab9	0xb642ab08
START: 0xb642aab9
cmp edi, 0x0	0xb642aab9
jz 0xb642aad6	0xb642aabc
jle 0xb642ab18	0xb642aabe
add edi, esi	0xb642aac0
jb 0xb642ab10	0xb642aac2
START: 0xb642aac4
mov dword ptr [esp], edi	0xb642aac4
call 0xb642aa10	0xb642aac7
START: 0xb642aacc
test eax, eax	0xb642aacc
mov eax, 0xffffffff	0xb642aace
cmovs esi, eax	0xb642aad3
mov eax, esi	0xb642aad6
mov ebx, dword ptr [esp+0x1c]	0xb642aad8
mov esi, dword ptr [esp+0x20]	0xb642aadc
mov edi, dword ptr [esp+0x24]	0xb642aae0
mov ebp, dword ptr [esp+0x28]	0xb642aae4
add esp, 0x2c	0xb642aae8
ret 	0xb642aaeb
START: 0xb63bfcff
mov edx, 0x0	0xb63bfcff
cmp eax, 0xffffffff	0xb63bfd04
cmovz eax, edx	0xb63bfd07
add esp, 0x1c	0xb63bfd0a
ret 	0xb63bfd0d
START: 0xb63bbd42
mov edx, dword ptr [esp+0x28]	0xb63bbd42
mov ecx, dword ptr [esp+0x2c]	0xb63bbd46
test eax, eax	0xb63bbd4a
mov ebp, eax	0xb63bbd4c
jz 0xb63bbdb1	0xb63bbd4e
mov eax, dword ptr [ebx-0xd8]	0xb63bbd50
mov eax, dword ptr [eax]	0xb63bbd56
test eax, eax	0xb63bbd58
jz 0xb63bbd66	0xb63bbd5a
mov dword ptr [esp+0x28], edx	0xb63bbd5c
call eax	0xb63bbd60
START: 0xb63bbd66
mov byte ptr [esp+0x5c], 0x1	0xb63bbd66
xor ecx, ecx	0xb63bbd6b
mov eax, dword ptr [ebx+0x15c]	0xb63bbd6d
test eax, eax	0xb63bbd73
jnz 0xb63bbd7d	0xb63bbd75
mov dword ptr [ebx+0x15c], ebp	0xb63bbd77
mov eax, dword ptr [ebx+0x894]	0xb63bbd7d
add eax, edx	0xb63bbd83
cmp dword ptr [esp+0x40], ebp	0xb63bbd85
mov dword ptr [esp+0x44], eax	0xb63bbd89
mov dword ptr [ebx+0x894], eax	0xb63bbd8d
jnz 0xb63bbdf6	0xb63bbd93
cmp byte ptr [esp+0x5c], 0x0	0xb63bbd95
jz 0xb63bbdf6	0xb63bbd9a
START: 0xb63bbdf6
test byte ptr [ebx+0x450], 0x2	0xb63bbdf6
setz al	0xb63bbdfd
cmp byte ptr [esp+0x50], 0x0	0xb63bbe00
jz 0xb63bbf91	0xb63bbe05
test al, al	0xb63bbe0b
jz 0xb63bbf99	0xb63bbe0d
cmp dword ptr [esp+0x40], ebp	0xb63bbe13
jnbe 0xb63bbf6d	0xb63bbe17
START: 0xb63bbf91
test al, al	0xb63bbf91
jnz 0xb63bbe2d	0xb63bbf93
test ebp, 0x7	0xb63bbf99
jnz 0xb63bbfbe	0xb63bbf9f
cmp byte ptr [esp+0x5c], 0x0	0xb63bbfa1
jz 0xb63bbf34	0xb63bbfa6
START: 0xb63bbe2d
mov ecx, ebp	0xb63bbe2d
and ecx, 0x7	0xb63bbe2f
mov dword ptr [esp+0x40], ebp	0xb63bbe32
mov dword ptr [esp+0x44], 0x0	0xb63bbe36
jz 0xb63bbe56	0xb63bbe3e
mov dword ptr [esp+0x44], 0x8	0xb63bbe40
sub dword ptr [esp+0x44], ecx	0xb63bbe48
mov ecx, dword ptr [esp+0x44]	0xb63bbe4c
add ecx, ebp	0xb63bbe50
mov dword ptr [esp+0x40], ecx	0xb63bbe52
mov eax, dword ptr [esp+0x44]	0xb63bbe56
add eax, dword ptr [esp+0x60]	0xb63bbe5a
add edx, eax	0xb63bbe5e
add edx, ebp	0xb63bbe60
sub eax, edx	0xb63bbe62
add edx, dword ptr [esp+0x34]	0xb63bbe64
and edx, dword ptr [esp+0x3c]	0xb63bbe68
add edx, eax	0xb63bbe6c
js 0xb63bbf4b	0xb63bbe6e
mov ebp, dword ptr [ebx-0x15c]	0xb63bbe74
mov dword ptr [esp], edx	0xb63bbe7a
mov dword ptr [esp+0x28], edx	0xb63bbe7d
call dword ptr [ebp]	0xb63bbe81
START: 0xb63bbe56
mov eax, dword ptr [esp+0x44]	0xb63bbe56
add eax, dword ptr [esp+0x60]	0xb63bbe5a
add edx, eax	0xb63bbe5e
add edx, ebp	0xb63bbe60
sub eax, edx	0xb63bbe62
add edx, dword ptr [esp+0x34]	0xb63bbe64
and edx, dword ptr [esp+0x3c]	0xb63bbe68
add edx, eax	0xb63bbe6c
js 0xb63bbf4b	0xb63bbe6e
mov ebp, dword ptr [ebx-0x15c]	0xb63bbe74
mov dword ptr [esp], edx	0xb63bbe7a
mov dword ptr [esp+0x28], edx	0xb63bbe7d
call dword ptr [ebp]	0xb63bbe81
START: 0xb642aad6
mov eax, esi	0xb642aad6
mov ebx, dword ptr [esp+0x1c]	0xb642aad8
mov esi, dword ptr [esp+0x20]	0xb642aadc
mov edi, dword ptr [esp+0x24]	0xb642aae0
mov ebp, dword ptr [esp+0x28]	0xb642aae4
add esp, 0x2c	0xb642aae8
ret 	0xb642aaeb
START: 0xb63bbe84
mov edx, dword ptr [esp+0x28]	0xb63bbe84
test eax, eax	0xb63bbe88
mov ecx, eax	0xb63bbe8a
jz 0xb63bbf24	0xb63bbe8c
mov eax, dword ptr [ebx-0xd8]	0xb63bbe92
mov eax, dword ptr [eax]	0xb63bbe98
test eax, eax	0xb63bbe9a
jz 0xb63bbeb0	0xb63bbe9c
mov dword ptr [esp+0x28], edx	0xb63bbe9e
mov dword ptr [esp+0x2c], ecx	0xb63bbea2
call eax	0xb63bbea6
START: 0xb63bbeb0
mov ebp, dword ptr [esp+0x40]	0xb63bbeb0
mov dword ptr [esp+0x34], edx	0xb63bbeb4
sub ecx, ebp	0xb63bbeb8
mov eax, dword ptr [esp+0x34]	0xb63bbeba
add edx, ecx	0xb63bbebe
or edx, 0x1	0xb63bbec0
add eax, dword ptr [ebx+0x894]	0xb63bbec3
cmp byte ptr [esp+0x50], 0x0	0xb63bbec9
mov dword ptr [ebx+0x47c], ebp	0xb63bbece
mov dword ptr [ebp+0x4], edx	0xb63bbed4
mov dword ptr [ebx+0x894], eax	0xb63bbed7
jz 0xb63bbb4b	0xb63bbedd
mov ecx, dword ptr [esp+0x60]	0xb63bbee3
sub ecx, 0x10	0xb63bbee7
mov edx, ecx	0xb63bbeea
or edx, 0x1	0xb63bbeec
cmp ecx, 0xf	0xb63bbeef
mov dword ptr [esi+0x4], edx	0xb63bbef2
mov dword ptr [esi+ecx*1+0x4], 0x9	0xb63bbef5
mov dword ptr [esi+ecx*1+0xc], 0x9	0xb63bbefd
jbe 0xb63bbb4b	0xb63bbf05
mov edx, esi	0xb63bbf0b
lea eax, ptr [ebx+0x44c]	0xb63bbf0d
mov dword ptr [esp], 0x1	0xb63bbf13
call 0xb63ba5d0	0xb63bbf1a
START: 0xb63bbb4b
cmp eax, dword ptr [edi+0x44c]	0xb63bbb4b
jbe 0xb63bbb59	0xb63bbb51
mov dword ptr [edi+0x44c], eax	0xb63bbb53
mov eax, dword ptr [ebp+0x4]	0xb63bbb59
and eax, 0xfffffff8	0xb63bbb5c
cmp dword ptr [esp+0x54], eax	0xb63bbb5f
jnbe 0xb63bb7c4	0xb63bbb63
mov edx, dword ptr [esp+0x38]	0xb63bbb69
xor ecx, ecx	0xb63bbb6d
sub eax, dword ptr [esp+0x38]	0xb63bbb6f
mov esi, dword ptr [esp+0x38]	0xb63bbb73
add edx, ebp	0xb63bbb77
cmp edi, dword ptr [esp+0x58]	0xb63bbb79
mov dword ptr [edi+0x30], edx	0xb63bbb7d
setnz cl	0xb63bbb80
or esi, 0x1	0xb63bbb83
shl ecx, 0x2	0xb63bbb86
or eax, 0x1	0xb63bbb89
or esi, ecx	0xb63bbb8c
mov dword ptr [ebp+0x4], esi	0xb63bbb8e
add ebp, 0x8	0xb63bbb91
mov dword ptr [edx+0x4], eax	0xb63bbb94
xor esi, esi	0xb63bbb97
test ebp, ebp	0xb63bbb99
jz 0xb63bb17e	0xb63bbb9b
START: 0xb63bbba1
mov eax, dword ptr [ebx+0x1918]	0xb63bbba1
test eax, eax	0xb63bbba7
jnz 0xb63bbc89	0xb63bbba9
